,RMSE,MAE,R2
Exponential,4319.800244352695,3460.515663720119,-1.5800925478986247
Logarithmic,2578.698020299057,1909.2038192530329,0.080590623177478
Cyclical,641.0091890614859,466.5931113030172,0.9431884725991845
PowerLaw,859.5500428024793,735.566398405709,0.8978471970694129
Linear,2252.8055846579377,1716.575968616457,0.29829368796077216
