,RMSE,MAE,R2
Exponential,2676.0750703828485,2102.3804294985925,0.18606704140451313
Logarithmic,1684.925934230989,1231.1858391595292,0.6773336472300105
Cyclical,407.9913211352655,288.1461214969772,0.9810811863354172
PowerLaw,812.1464512689412,702.1938156314887,0.9250346190792806
Linear,1537.8525960021927,1195.4066686679557,0.7312048239401513
